Modelo,Topologia,Uso,Tiempo
DRL,EliBackbone,1.0772,6.1264
DRL+LS,EliBackbone,0.7425,13.7041
DRL,EliBackbone,1.0464,6.1811
DRL+LS,EliBackbone,0.7965,12.0685
DRL,EliBackbone,1.0675,6.1244
DRL+LS,EliBackbone,0.7784,12.7139
DRL,EliBackbone,1.1133,6.069
DRL+LS,EliBackbone,0.8062,12.5234
DRL,EliBackbone,1.0683,6.2064
DRL+LS,EliBackbone,0.7781,12.7379
DRL,EliBackbone,1.1572,6.0594
DRL+LS,EliBackbone,0.9178,22.4501
DRL,EliBackbone,1.0523,6.0534
DRL+LS,EliBackbone,0.8952,8.2369
DRL,EliBackbone,1.0462,6.0834
DRL+LS,EliBackbone,0.8516,9.7642
DRL,EliBackbone,1.0448,6.0344
DRL+LS,EliBackbone,0.6624,19.0893
DRL,EliBackbone,1.0337,6.0539
DRL+LS,EliBackbone,0.8764,8.5225
DRL,EliBackbone,1.0602,6.0654
DRL+LS,EliBackbone,0.7145,15.5285
DRL,EliBackbone,1.0296,6.0731
DRL+LS,EliBackbone,0.8488,9.6379
DRL,EliBackbone,1.0934,5.9436
DRL+LS,EliBackbone,0.8001,11.9419
DRL,EliBackbone,1.0575,5.9533
DRL+LS,EliBackbone,0.7824,11.4546
DRL,EliBackbone,1.0965,5.9507
DRL+LS,EliBackbone,0.8116,10.3987
DRL,EliBackbone,1.032,6.0641
DRL+LS,EliBackbone,0.7775,12.7026
DRL,EliBackbone,1.0288,6.0764
DRL+LS,EliBackbone,0.6957,16.3237
DRL,EliBackbone,1.1053,6.0574
DRL+LS,EliBackbone,0.827,10.7624
DRL,EliBackbone,1.0978,6.0794
DRL+LS,EliBackbone,0.8279,10.0223
DRL,EliBackbone,0.9932,6.0596
DRL+LS,EliBackbone,0.7002,14.9476
DRL,EliBackbone,0.9728,6.0584
DRL+LS,EliBackbone,0.745,14.0492
DRL,EliBackbone,1.0153,6.051
DRL+LS,EliBackbone,0.7119,16.0423
DRL,EliBackbone,1.0868,6.0864
DRL+LS,EliBackbone,0.8643,9.7072
DRL,EliBackbone,1.11,5.9083
DRL+LS,EliBackbone,0.7452,13.8992
DRL,EliBackbone,1.0372,6.0574
DRL+LS,EliBackbone,0.7683,11.8447
DRL,EliBackbone,1.0601,5.9784
DRL+LS,EliBackbone,0.7497,14.2653
DRL,EliBackbone,1.0692,6.0479
DRL+LS,EliBackbone,0.6695,17.5545
DRL,EliBackbone,1.0768,6.0384
DRL+LS,EliBackbone,0.8641,10.1543
DRL,EliBackbone,0.9945,6.0734
DRL+LS,EliBackbone,0.7415,13.0609
DRL,EliBackbone,1.1144,6.0706
DRL+LS,EliBackbone,0.7042,15.5277
DRL,EliBackbone,1.019,6.0704
DRL+LS,EliBackbone,0.7449,13.9432
DRL,EliBackbone,1.0212,6.0664
DRL+LS,EliBackbone,0.8058,11.2365
DRL,EliBackbone,1.0178,5.9463
DRL+LS,EliBackbone,0.7562,11.6626
DRL,EliBackbone,1.0306,6.0284
DRL+LS,EliBackbone,0.6572,20.2136
DRL,EliBackbone,1.1363,5.9659
DRL+LS,EliBackbone,0.8016,11.021
DRL,EliBackbone,1.0947,6.0644
DRL+LS,EliBackbone,0.8055,11.6156
DRL,EliBackbone,1.024,6.0374
DRL+LS,EliBackbone,0.727,14.1672
DRL,EliBackbone,1.1238,5.974
DRL+LS,EliBackbone,0.7586,13.6087
DRL,EliBackbone,1.0187,6.0593
DRL+LS,EliBackbone,0.7853,10.9855
DRL,EliBackbone,0.9929,6.0819
DRL+LS,EliBackbone,0.9156,7.2742
DRL,EliBackbone,1.0881,6.0684
DRL+LS,EliBackbone,0.6796,16.0096
DRL,EliBackbone,0.982,6.0394
DRL+LS,EliBackbone,0.7662,11.2936
DRL,EliBackbone,1.1055,6.0612
DRL+LS,EliBackbone,0.7864,14.1896
DRL,EliBackbone,0.9988,6.0774
DRL+LS,EliBackbone,0.793,11.4506
DRL,EliBackbone,0.987,6.0827
DRL+LS,EliBackbone,0.7265,14.1245
DRL,EliBackbone,1.0966,6.0494
DRL+LS,EliBackbone,0.679,19.0014
DRL,EliBackbone,1.0622,5.9393
DRL+LS,EliBackbone,0.6542,17.4159
DRL,EliBackbone,1.031,6.0455
DRL+LS,EliBackbone,0.862,9.4813
DRL,EliBackbone,1.1004,6.0304
DRL+LS,EliBackbone,0.8869,9.033
DRL,EliBackbone,1.1356,5.9388
DRL+LS,EliBackbone,0.7728,12.2213
DRL,HurricaneElectric,0.9336,12.2759
DRL+LS,HurricaneElectric,0.5959,47.6019
DRL,HurricaneElectric,0.963,10.9842
DRL+LS,HurricaneElectric,0.6335,44.4471
DRL,HurricaneElectric,0.9392,10.8452
DRL+LS,HurricaneElectric,0.6217,41.354
DRL,HurricaneElectric,0.9278,10.8468
DRL+LS,HurricaneElectric,0.749,20.1435
DRL,HurricaneElectric,0.9401,10.8438
DRL+LS,HurricaneElectric,0.6861,31.0783
DRL,HurricaneElectric,1.0121,12.1388
DRL+LS,HurricaneElectric,0.8092,20.2952
DRL,HurricaneElectric,0.9153,12.1247
DRL+LS,HurricaneElectric,0.7009,25.7338
DRL,HurricaneElectric,0.9638,12.1928
DRL+LS,HurricaneElectric,0.8244,18.3723
DRL,HurricaneElectric,0.9067,12.1762
DRL+LS,HurricaneElectric,0.7833,17.2542
DRL,HurricaneElectric,0.9156,12.1564
DRL+LS,HurricaneElectric,0.8328,15.016
DRL,HurricaneElectric,0.8903,11.6782
DRL+LS,HurricaneElectric,0.662,29.1127
DRL,HurricaneElectric,0.9062,11.1409
DRL+LS,HurricaneElectric,0.7151,26.7858
DRL,HurricaneElectric,0.9345,10.8773
DRL+LS,HurricaneElectric,0.6769,30.748
DRL,HurricaneElectric,0.9182,12.1731
DRL+LS,HurricaneElectric,0.7955,16.2434
DRL,HurricaneElectric,0.9276,10.8482
DRL+LS,HurricaneElectric,0.7446,18.1595
DRL,HurricaneElectric,0.924,10.8778
DRL+LS,HurricaneElectric,0.6265,41.9689
DRL,HurricaneElectric,0.9498,11.3875
DRL+LS,HurricaneElectric,0.7685,17.6597
DRL,HurricaneElectric,0.9094,10.8839
DRL+LS,HurricaneElectric,0.7007,22.8344
DRL,HurricaneElectric,0.8821,10.8758
DRL+LS,HurricaneElectric,0.6926,22.5633
DRL,HurricaneElectric,1.0123,12.1417
DRL+LS,HurricaneElectric,0.7614,25.6574
DRL,HurricaneElectric,0.9327,10.8632
DRL+LS,HurricaneElectric,0.6787,28.8756
DRL,HurricaneElectric,0.8911,10.8788
DRL+LS,HurricaneElectric,0.6559,24.0358
DRL,HurricaneElectric,0.9113,12.1478
DRL+LS,HurricaneElectric,0.6944,28.2215
DRL,HurricaneElectric,0.9128,10.8907
DRL+LS,HurricaneElectric,0.6746,28.3816
DRL,HurricaneElectric,0.8907,12.1945
DRL+LS,HurricaneElectric,0.7709,19.7253
DRL,HurricaneElectric,0.8943,10.844
DRL+LS,HurricaneElectric,0.623,33.8315
DRL,HurricaneElectric,0.8905,11.4413
DRL+LS,HurricaneElectric,0.7318,17.9
DRL,HurricaneElectric,0.9059,10.851
DRL+LS,HurricaneElectric,0.6744,27.8749
DRL,HurricaneElectric,0.8978,10.828
DRL+LS,HurricaneElectric,0.6916,22.6272
DRL,HurricaneElectric,0.8668,10.8572
DRL+LS,HurricaneElectric,0.72,19.7319
DRL,HurricaneElectric,0.9656,12.1408
DRL+LS,HurricaneElectric,0.5855,52.8127
DRL,HurricaneElectric,0.9238,10.8768
DRL+LS,HurricaneElectric,0.6865,25.5534
DRL,HurricaneElectric,0.8393,10.8364
DRL+LS,HurricaneElectric,0.67,25.5242
DRL,HurricaneElectric,0.868,10.8182
DRL+LS,HurricaneElectric,0.6393,32.3497
DRL,HurricaneElectric,0.827,10.8579
DRL+LS,HurricaneElectric,0.7051,18.0622
DRL,HurricaneElectric,0.9631,12.1938
DRL+LS,HurricaneElectric,0.6144,37.4781
DRL,HurricaneElectric,0.9453,12.1301
DRL+LS,HurricaneElectric,0.6313,39.9153
DRL,HurricaneElectric,0.8721,10.8672
DRL+LS,HurricaneElectric,0.7162,18.7851
DRL,HurricaneElectric,0.9251,12.1438
DRL+LS,HurricaneElectric,0.6454,39.1898
DRL,HurricaneElectric,0.9449,10.8733
DRL+LS,HurricaneElectric,0.7508,18.1811
DRL,HurricaneElectric,0.9521,10.859
DRL+LS,HurricaneElectric,0.7535,17.5042
DRL,HurricaneElectric,0.9077,10.8925
DRL+LS,HurricaneElectric,0.6564,35.6197
DRL,HurricaneElectric,0.8859,12.1833
DRL+LS,HurricaneElectric,0.7119,24.0344
DRL,HurricaneElectric,0.8679,12.1619
DRL+LS,HurricaneElectric,0.6777,27.1714
DRL,HurricaneElectric,0.8895,11.439
DRL+LS,HurricaneElectric,0.7549,20.4232
DRL,HurricaneElectric,0.8615,10.8912
DRL+LS,HurricaneElectric,0.7991,14.8992
DRL,HurricaneElectric,0.9358,10.85
DRL+LS,HurricaneElectric,0.7303,21.4596
DRL,HurricaneElectric,0.9247,11.9673
DRL+LS,HurricaneElectric,0.6754,31.4582
DRL,HurricaneElectric,0.9009,10.8882
DRL+LS,HurricaneElectric,0.7528,17.3025
DRL,HurricaneElectric,0.8418,10.8448
DRL+LS,HurricaneElectric,0.6809,23.4558
DRL,Janetbackbone,0.845,23.6347
DRL+LS,Janetbackbone,0.6889,50.8537
DRL,Janetbackbone,0.8662,23.4897
DRL+LS,Janetbackbone,0.6423,68.1617
DRL,Janetbackbone,0.8485,23.5312
DRL+LS,Janetbackbone,0.6991,46.7561
DRL,Janetbackbone,0.945,23.491
DRL+LS,Janetbackbone,0.7588,71.2088
DRL,Janetbackbone,0.8257,23.5156
DRL+LS,Janetbackbone,0.6824,48.703
DRL,Janetbackbone,0.8351,23.5001
DRL+LS,Janetbackbone,0.6981,49.3595
DRL,Janetbackbone,0.7973,23.5624
DRL+LS,Janetbackbone,0.6227,70.4948
DRL,Janetbackbone,0.8373,23.5449
DRL+LS,Janetbackbone,0.8235,26.0668
DRL,Janetbackbone,0.8005,23.5713
DRL+LS,Janetbackbone,0.7496,31.9931
DRL,Janetbackbone,0.9703,23.5001
DRL+LS,Janetbackbone,0.6376,78.4478
DRL,Janetbackbone,0.9773,23.5891
DRL+LS,Janetbackbone,0.5834,89.2496
DRL,Janetbackbone,0.7922,23.5975
DRL+LS,Janetbackbone,0.5512,86.033
DRL,Janetbackbone,0.9043,23.612
DRL+LS,Janetbackbone,0.6203,78.2351
DRL,Janetbackbone,0.8936,23.6292
DRL+LS,Janetbackbone,0.7585,42.8931
DRL,Janetbackbone,0.9784,23.58
DRL+LS,Janetbackbone,0.7394,52.8114
DRL,Janetbackbone,0.9605,25.3457
DRL+LS,Janetbackbone,0.743,50.4325
DRL,Janetbackbone,0.888,24.4036
DRL+LS,Janetbackbone,0.7541,37.8899
DRL,Janetbackbone,0.7776,24.4883
DRL+LS,Janetbackbone,0.7088,33.8615
DRL,Janetbackbone,0.8822,24.4525
DRL+LS,Janetbackbone,0.6058,96.2711
DRL,Janetbackbone,0.8754,24.3132
DRL+LS,Janetbackbone,0.5951,85.3744
