Modelo,Topologia,Uso,Tiempo
15%,BtAsiaPac,0.5627,3.4528
15%,BtAsiaPac,0.5213,3.9529
15%,BtAsiaPac,0.5296,3.9369
15%,BtAsiaPac,0.5453,3.1234
15%,BtAsiaPac,0.5243,4.0899
15%,BtAsiaPac,0.5616,3.2737
15%,BtAsiaPac,0.5233,4.0476
15%,BtAsiaPac,0.5579,3.4508
15%,BtAsiaPac,0.5708,3.9669
15%,BtAsiaPac,0.5222,3.8569
15%,BtAsiaPac,0.5311,4.359
15%,BtAsiaPac,0.5376,3.5978
15%,BtAsiaPac,0.5581,3.7729
15%,BtAsiaPac,0.561,4.0649
15%,BtAsiaPac,0.523,4.556
15%,BtAsiaPac,0.5594,3.6418
15%,BtAsiaPac,0.5364,4.1709
15%,BtAsiaPac,0.544,4.0589
15%,BtAsiaPac,0.5674,4.0349
15%,BtAsiaPac,0.5566,3.3878
15%,BtAsiaPac,0.5513,3.1497
15%,BtAsiaPac,0.5681,3.4848
15%,BtAsiaPac,0.5282,3.8569
15%,BtAsiaPac,0.5452,4.1589
15%,BtAsiaPac,0.5535,3.2627
15%,BtAsiaPac,0.5279,4.438
15%,BtAsiaPac,0.5191,3.7268
15%,BtAsiaPac,0.5339,3.9019
15%,BtAsiaPac,0.5481,3.9129
15%,BtAsiaPac,0.5453,3.1457
15%,BtAsiaPac,0.5457,3.3998
15%,BtAsiaPac,0.5241,3.9249
15%,BtAsiaPac,0.6152,2.7606
15%,BtAsiaPac,0.5487,3.4158
15%,BtAsiaPac,0.6174,2.9697
15%,BtAsiaPac,0.5553,3.3938
15%,BtAsiaPac,0.528,3.8139
15%,BtAsiaPac,0.523,4.1329
15%,BtAsiaPac,0.5319,3.6248
15%,BtAsiaPac,0.531,4.0329
15%,BtAsiaPac,0.5705,3.3437
15%,BtAsiaPac,0.5519,4.0919
15%,BtAsiaPac,0.5727,3.4548
15%,BtAsiaPac,0.5256,3.4038
15%,BtAsiaPac,0.555,2.9417
15%,BtAsiaPac,0.5293,3.4028
15%,BtAsiaPac,0.5522,3.4358
15%,BtAsiaPac,0.562,3.5928
15%,BtAsiaPac,0.5659,2.9347
15%,BtAsiaPac,0.5369,3.4538
15%,Garr199905,1.0382,5.0331
15%,Garr199905,1.0164,4.522
15%,Garr199905,1.017,5.0952
15%,Garr199905,0.9853,5.2562
15%,Garr199905,1.0252,4.7811
15%,Garr199905,1.0111,5.3082
15%,Garr199905,1.0026,5.0681
15%,Garr199905,1.027,5.2452
15%,Garr199905,1.0078,5.4472
15%,Garr199905,1.0082,4.9551
15%,Garr199905,1.0193,4.9681
15%,Garr199905,1.0019,5.2592
15%,Garr199905,1.0371,4.616
15%,Garr199905,1.0142,4.562
15%,Garr199905,1.0221,5.1587
15%,Garr199905,1.0264,4.418
15%,Garr199905,0.9844,4.368
15%,Garr199905,1.013,4.7705
15%,Garr199905,0.9933,5.1133
15%,Garr199905,1.0223,4.8791
15%,Garr199905,0.9974,4.9981
15%,Garr199905,1.0128,5.1212
15%,Garr199905,1.0,5.1742
15%,Garr199905,1.0294,5.0341
15%,Garr199905,1.0105,4.8521
15%,Garr199905,1.0166,4.8661
15%,Garr199905,1.0411,4.8131
15%,Garr199905,1.0198,5.0331
15%,Garr199905,1.0252,5.0011
15%,Garr199905,0.9996,5.0525
15%,Garr199905,1.0044,4.7461
15%,Garr199905,1.0203,5.3672
15%,Garr199905,1.0178,4.9661
15%,Garr199905,1.0325,4.9241
15%,Garr199905,1.0305,5.1652
15%,Garr199905,1.0024,5.1525
15%,Garr199905,1.0118,5.1493
15%,Garr199905,0.996,5.1132
15%,Garr199905,1.0222,5.4182
15%,Garr199905,1.0098,4.9191
15%,Garr199905,1.0044,5.0905
15%,Garr199905,1.0236,4.637
15%,Garr199905,1.0212,4.7021
15%,Garr199905,1.0169,4.625
15%,Garr199905,1.0353,5.3972
15%,Garr199905,1.0206,5.1132
15%,Garr199905,1.0267,4.8761
15%,Garr199905,1.0261,4.8816
15%,Garr199905,1.0173,4.9131
15%,Garr199905,1.0153,4.617
15%,Goodnet,1.083,1.8139
15%,Goodnet,1.042,1.8854
15%,Goodnet,0.9896,1.8934
15%,Goodnet,0.9698,1.8124
15%,Goodnet,0.9866,1.8004
15%,Goodnet,1.0066,1.8404
15%,Goodnet,1.0218,1.8944
15%,Goodnet,1.0022,1.7814
15%,Goodnet,1.0546,1.8034
15%,Goodnet,1.0354,1.7594
15%,Goodnet,1.0182,1.8894
15%,Goodnet,0.9843,1.8214
15%,Goodnet,1.0197,1.8414
15%,Goodnet,1.0204,1.8044
15%,Goodnet,0.9967,1.8084
15%,Goodnet,1.0018,1.8064
15%,Goodnet,0.9952,1.8164
15%,Goodnet,1.0365,1.7974
15%,Goodnet,1.0618,1.9484
15%,Goodnet,0.9879,1.8384
15%,Goodnet,1.0291,1.9084
15%,Goodnet,1.0712,1.8404
15%,Goodnet,1.0194,1.7704
15%,Goodnet,1.0297,1.8054
15%,Goodnet,1.0418,1.7914
15%,Goodnet,1.0118,1.7944
15%,Goodnet,1.0226,1.8094
15%,Goodnet,0.9884,1.8024
15%,Goodnet,0.9795,1.8454
15%,Goodnet,1.0316,1.7924
15%,Goodnet,0.989,1.9694
15%,Goodnet,1.0123,2.1615
15%,Goodnet,0.9942,1.9995
15%,Goodnet,1.0172,1.8094
15%,Goodnet,1.0502,1.7804
15%,Goodnet,1.0216,1.7774
15%,Goodnet,1.0114,1.9104
15%,Goodnet,1.0272,1.8077
15%,Goodnet,1.0288,1.8184
15%,Goodnet,1.0266,1.7974
15%,Goodnet,1.0815,1.8554
15%,Goodnet,1.0034,1.9744
15%,Goodnet,1.0204,1.7984
15%,Goodnet,1.0024,1.9174
15%,Goodnet,0.9944,1.9354
15%,Goodnet,1.0052,1.9915
15%,Goodnet,1.0664,1.8324
15%,Goodnet,1.0708,1.8214
15%,Goodnet,1.0158,1.8244
15%,Goodnet,1.0076,2.0365
30%,BtAsiaPac,0.5228,6.6831
30%,BtAsiaPac,0.5213,7.6828
30%,BtAsiaPac,0.5296,7.635
30%,BtAsiaPac,0.5453,6.2887
30%,BtAsiaPac,0.5227,8.3692
30%,BtAsiaPac,0.5616,6.3904
30%,BtAsiaPac,0.5233,7.8436
30%,BtAsiaPac,0.5579,6.5322
30%,BtAsiaPac,0.5604,8.067
30%,BtAsiaPac,0.5222,7.5839
30%,BtAsiaPac,0.5311,8.3792
30%,BtAsiaPac,0.5153,8.5535
30%,BtAsiaPac,0.5581,7.4555
30%,BtAsiaPac,0.561,7.2177
30%,BtAsiaPac,0.522,9.0311
30%,BtAsiaPac,0.5594,6.75
30%,BtAsiaPac,0.515,8.6222
30%,BtAsiaPac,0.5325,6.3133
30%,BtAsiaPac,0.5674,7.9344
30%,BtAsiaPac,0.5566,6.5937
30%,BtAsiaPac,0.5526,6.0479
30%,BtAsiaPac,0.5681,6.5528
30%,BtAsiaPac,0.5282,7.5892
30%,BtAsiaPac,0.5452,8.432
30%,BtAsiaPac,0.5535,6.4384
30%,BtAsiaPac,0.5233,9.1574
30%,BtAsiaPac,0.5184,7.2427
30%,BtAsiaPac,0.5339,7.5803
30%,BtAsiaPac,0.571,6.232
30%,BtAsiaPac,0.5453,6.2395
30%,BtAsiaPac,0.5457,6.6026
30%,BtAsiaPac,0.5511,6.9684
30%,BtAsiaPac,0.5919,5.7264
30%,BtAsiaPac,0.5487,6.4507
30%,BtAsiaPac,0.5654,7.0698
30%,BtAsiaPac,0.5553,6.7831
30%,BtAsiaPac,0.5265,7.3564
30%,BtAsiaPac,0.523,7.4501
30%,BtAsiaPac,0.5245,7.6306
30%,BtAsiaPac,0.531,7.7728
30%,BtAsiaPac,0.5705,6.4195
30%,BtAsiaPac,0.5473,8.5001
30%,BtAsiaPac,0.5152,8.1446
30%,BtAsiaPac,0.5256,6.7424
30%,BtAsiaPac,0.555,5.7251
30%,BtAsiaPac,0.5293,6.5631
30%,BtAsiaPac,0.5522,6.778
30%,BtAsiaPac,0.5511,6.8158
30%,BtAsiaPac,0.5659,5.7486
30%,BtAsiaPac,0.5369,7.0805
30%,Garr199905,1.0306,10.3131
30%,Garr199905,1.0148,9.3767
30%,Garr199905,1.017,9.816
30%,Garr199905,0.9789,10.1698
30%,Garr199905,1.0252,9.2461
30%,Garr199905,1.005,10.4098
30%,Garr199905,1.0017,10.14
30%,Garr199905,1.0259,10.7396
30%,Garr199905,1.0074,11.1331
30%,Garr199905,1.0082,9.8924
30%,Garr199905,1.0193,10.0312
30%,Garr199905,1.0019,10.3689
30%,Garr199905,1.0371,9.0616
30%,Garr199905,1.0142,9.018
30%,Garr199905,1.0181,9.9438
30%,Garr199905,1.0264,8.7362
30%,Garr199905,0.9832,9.0828
30%,Garr199905,1.013,9.6001
30%,Garr199905,0.9925,10.2025
30%,Garr199905,1.0206,9.8994
30%,Garr199905,0.9886,10.38
30%,Garr199905,1.0128,10.1167
30%,Garr199905,1.0,10.0297
30%,Garr199905,1.0293,10.1831
30%,Garr199905,1.0105,9.5801
30%,Garr199905,1.0166,9.6037
30%,Garr199905,1.0411,9.7009
30%,Garr199905,1.0128,10.0597
30%,Garr199905,1.018,9.8684
30%,Garr199905,0.9996,9.8649
30%,Garr199905,1.0044,9.2647
30%,Garr199905,1.0204,11.4687
30%,Garr199905,1.0178,9.5626
30%,Garr199905,1.027,10.1153
30%,Garr199905,1.0304,10.3803
30%,Garr199905,1.0024,10.1101
30%,Garr199905,1.0106,10.273
30%,Garr199905,0.9898,10.1124
30%,Garr199905,1.016,9.9149
30%,Garr199905,1.0098,9.8804
30%,Garr199905,1.0044,10.1354
30%,Garr199905,1.0172,9.2191
30%,Garr199905,1.0202,9.5651
30%,Garr199905,1.0102,9.3627
30%,Garr199905,1.0339,10.7456
30%,Garr199905,1.0147,10.1218
30%,Garr199905,1.0252,10.0263
30%,Garr199905,1.0261,9.6321
30%,Garr199905,1.0106,9.5479
30%,Garr199905,1.0153,8.9822
30%,Goodnet,1.083,3.4377
30%,Goodnet,1.042,3.4529
30%,Goodnet,0.9896,3.5584
30%,Goodnet,0.9698,3.416
30%,Goodnet,0.9866,3.4062
30%,Goodnet,1.0066,3.393
30%,Goodnet,1.0218,3.3415
30%,Goodnet,1.0022,3.44
30%,Goodnet,1.0546,3.4499
30%,Goodnet,1.0354,3.4534
30%,Goodnet,1.0182,3.5471
30%,Goodnet,0.9843,3.4534
30%,Goodnet,1.0197,3.5154
30%,Goodnet,1.0204,3.4221
30%,Goodnet,0.9967,3.4261
30%,Goodnet,1.0018,3.4648
30%,Goodnet,0.9952,3.5014
30%,Goodnet,1.0365,3.3874
30%,Goodnet,1.0618,3.6089
30%,Goodnet,0.9879,3.4774
30%,Goodnet,1.0291,3.4564
30%,Goodnet,1.0712,3.4843
30%,Goodnet,1.0194,3.4489
30%,Goodnet,1.0297,3.4168
30%,Goodnet,1.0418,3.5015
30%,Goodnet,1.0118,3.4319
30%,Goodnet,1.0226,3.4332
30%,Goodnet,0.9884,3.4221
30%,Goodnet,0.9795,3.4221
30%,Goodnet,1.0316,3.1096
30%,Goodnet,0.989,3.7665
30%,Goodnet,1.0123,3.9988
30%,Goodnet,0.9942,3.8461
30%,Goodnet,1.0172,3.395
30%,Goodnet,1.0502,3.3905
30%,Goodnet,1.0216,3.4067
30%,Goodnet,1.0114,3.6248
30%,Goodnet,1.0272,3.439
30%,Goodnet,1.0288,3.5088
30%,Goodnet,1.0266,3.4196
30%,Goodnet,1.0815,3.4848
30%,Goodnet,1.0034,3.5919
30%,Goodnet,1.0204,3.4377
30%,Goodnet,1.0024,3.4216
30%,Goodnet,0.9944,3.6212
30%,Goodnet,1.0052,3.6931
30%,Goodnet,1.0664,3.5967
30%,Goodnet,1.0708,3.4979
30%,Goodnet,1.0158,3.5131
30%,Goodnet,1.0076,3.7641
50%,BtAsiaPac,0.5228,6.6211
50%,BtAsiaPac,0.5213,7.6916
50%,BtAsiaPac,0.5296,7.8024
50%,BtAsiaPac,0.5453,6.3251
50%,BtAsiaPac,0.5227,8.6797
50%,BtAsiaPac,0.5616,6.5905
50%,BtAsiaPac,0.5233,8.0469
50%,BtAsiaPac,0.5579,6.6095
50%,BtAsiaPac,0.5604,8.2177
50%,BtAsiaPac,0.5222,7.9468
50%,BtAsiaPac,0.5311,8.3437
50%,BtAsiaPac,0.5153,8.751
50%,BtAsiaPac,0.5581,7.637
50%,BtAsiaPac,0.561,7.5015
50%,BtAsiaPac,0.522,9.305
50%,BtAsiaPac,0.5594,6.8639
50%,BtAsiaPac,0.515,8.7204
50%,BtAsiaPac,0.5325,6.2794
50%,BtAsiaPac,0.5674,8.0683
50%,BtAsiaPac,0.5566,6.728
50%,BtAsiaPac,0.5526,6.1098
50%,BtAsiaPac,0.5681,6.8442
50%,BtAsiaPac,0.5282,7.6831
50%,BtAsiaPac,0.5452,8.8259
50%,BtAsiaPac,0.5535,6.5032
50%,BtAsiaPac,0.5233,9.1948
50%,BtAsiaPac,0.5184,7.272
50%,BtAsiaPac,0.5339,7.7632
